"u","area_q025","area_q50","area_q975","area_MAP","time"
"crops",NA,NA,NA,NA,1950
"grass",NA,NA,NA,NA,1950
"other",NA,NA,NA,NA,1950
"rough",NA,NA,NA,NA,1950
"urban",NA,NA,NA,NA,1950
"woods",NA,NA,NA,NA,1950
"crops",484.296166299027,589.730283459654,704.626064323745,619.279614638864,1951
"grass",764.948324265989,885.628741521636,1012.77828202943,890.161450391627,1951
"other",67.4790688623817,151.259351380529,256.66821193935,80.5389328528354,1951
"rough",114.466067543269,223.80737203252,337.170449215027,222.508730178764,1951
"urban",182.96828631805,296.168973465695,410.240510463294,277.396942335384,1951
"woods",279.749258819015,372.301246714984,472.336978440192,292.722749800315,1951
"crops",554.49748916462,657.013888465988,789.367615170869,659.311707794326,1952
"grass",658.661398550875,781.809350264882,900.724557224583,724.186879377327,1952
"other",78.2356412149334,159.895831177607,268.372967498613,103.383403417928,1952
"rough",162.751104485172,281.391843613512,401.797236325905,308.330037967173,1952
"urban",195.80565479448,302.386446315021,420.000943702255,262.530626101339,1952
"woods",286.148194464899,381.51053493446,472.115675425468,334.44935861852,1952
"crops",538.477269144298,647.025459932059,752.806010291998,627.376694201042,1953
"grass",700.449835538553,828.057144509162,957.850569120022,799.526316867886,1953
"other",91.247178295046,178.845585949351,291.801713163753,101.00559056345,1953
"rough",93.8576628739797,191.737504575926,306.99273889846,90.0750553098302,1953
"urban",218.981755358465,323.97142615788,440.711894253386,288.793420972218,1953
"woods",317.749644130941,405.543285306789,507.494195760223,346.773346563308,1953
"crops",499.547883479921,600.374428326561,710.962801455066,595.726076367411,1954
"grass",732.043228813348,858.352482763542,993.302545701139,852.335663473869,1954
"other",66.1194961262073,154.454244513932,253.742832309549,133.052100747974,1954
"rough",146.426668991834,243.449892047561,361.844168350902,200.466570320056,1954
"urban",198.326055483407,312.640652552971,426.400936047391,225.422207498052,1954
"woods",300.725804575794,395.063629604941,492.127220904498,380.721070871197,1954
"crops",461.694265578737,581.280813621,683.92226419161,538.255025435685,1955
"grass",744.359945341554,859.538963648109,983.048010631608,869.170213471311,1955
"other",70.2056676242116,157.781227558235,268.322541158079,68.2910041133342,1955
"rough",147.597868219805,262.393717308908,392.800012961384,218.777295221537,1955
"urban",183.53819056471,294.119505436933,425.895045021955,313.77419318576,1955
"woods",304.748404718216,393.569518614611,492.560686658559,400.036011827914,1955
"crops",603.859709099179,707.49063913165,808.648066457095,617.275281234221,1956
"grass",628.240192242165,752.074121777749,875.811809050737,718.118953234794,1956
"other",78.0525880329008,171.463833524045,284.440737749611,113.090141067316,1956
"rough",126.254342872564,217.085167375319,346.353535884441,230.368744486721,1956
"urban",215.669085482907,327.145726077795,440.369155738887,332.484768743535,1956
"woods",317.439559118087,409.237510594695,512.00688106075,395.519853775768,1956
"crops",521.12696544199,613.444762929214,727.35645560482,570.193992315485,1957
"grass",651.773173248474,780.002322318395,913.265615753653,699.097843823954,1957
"other",72.3624157348446,151.025811612321,252.07373345367,125.932437150058,1957
"rough",197.759384828704,312.40667559785,438.89175929933,242.236747403293,1957
"urban",200.204320654546,304.835643964173,439.30628913457,224.463824206978,1957
"woods",310.325368482073,408.879854294601,505.211273820081,390.755297961424,1957
"crops",513.806861324976,623.687190553392,747.305981507905,577.109351467156,1958
"grass",658.003588443812,775.912020101669,906.185333242705,792.969157044126,1958
"other",72.7890887552934,160.574749501625,254.770459326724,162.930968073841,1958
"rough",177.852888096989,314.598371224324,440.567686675117,266.393051090878,1958
"urban",178.339959852265,300.781868095647,425.757856452153,228.307867952497,1958
"woods",310.350803748823,402.739889652504,502.007608267395,416.874454076163,1958
"crops",489.359185188319,610.643363506902,740.427112525851,656.503565856157,1959
"grass",623.8084771085,751.191343295421,875.721541680557,745.4964587209,1959
"other",77.6855983567826,170.482649347976,270.159940275055,80.2879155775835,1959
"rough",195.779682611444,301.811503964657,418.361928859298,236.586651610913,1959
"urban",188.93388399154,317.426264588571,435.811227215053,214.747863230503,1959
"woods",321.582147789886,418.754201715734,515.585167525326,348.677240923247,1959
"crops",588.034980508914,693.228427447495,815.113650483662,651.004359113876,1960
"grass",612.745186030272,744.436515173766,861.728495458829,738.425784318111,1960
"other",73.3349051209621,146.92716017886,242.522890477991,107.643202530998,1960
"rough",144.338176522943,263.224681983868,381.450706992407,265.61984576449,1960
"urban",181.628779626064,294.043497454878,409.941971186615,309.244415642745,1960
"woods",317.109085468463,407.864335638597,499.876623829772,363.551689925449,1960
"crops",703.603229284534,825.270405686472,933.926787640659,766.71073840369,1961
"grass",449.030642959081,569.986120162423,701.388336470623,594.041195290344,1961
"other",82.9725533758065,165.538879562488,267.966172299117,85.5946245072603,1961
"rough",180.199637939862,287.637852203772,412.383978568613,262.876650844404,1961
"urban",201.726332155605,306.817184029665,421.24656651607,315.606636977176,1961
"woods",318.216505574179,406.079480048611,511.933335057359,391.666120175132,1961
"crops",666.097524542122,810.019603790152,917.069872195413,821.148427063857,1962
"grass",557.78075525825,694.208065944846,815.160831950446,642.539978345667,1962
"other",76.9108194786402,151.230088603136,271.210840235639,148.45183602012,1962
"rough",113.292769256148,212.376597297025,324.69004693725,138.526187305504,1962
"urban",192.406571907999,287.829508575865,412.336385092922,218.414183799249,1962
"woods",306.464826661501,396.508544553294,494.568478098324,378.5962235348,1962
"crops",710.793663113814,833.89745380986,961.975127401006,791.464378468914,1963
"grass",550.872026345004,680.902424964918,808.935537813494,653.300279693312,1963
"other",69.3430809832671,148.976746969117,260.184029645672,108.205290000463,1963
"rough",111.809300133225,226.238350038795,331.009167724121,223.083989829786,1963
"urban",191.601189294357,281.919717038136,394.98078857056,246.273824824579,1963
"woods",298.665876756253,390.817941611449,488.138228748809,350.341542104322,1963
"crops",693.411891185292,824.98423186486,945.870814999629,755.038182306222,1964
"grass",600.784944788348,730.572919824334,849.940961987223,762.102819955954,1964
"other",69.7478786987286,148.147096501513,252.205907974479,94.6813499535785,1964
"rough",82.6337202313768,184.514654994864,281.130572148817,138.888948588678,1964
"urban",169.742719236837,294.717199139404,406.031324110558,305.325396375028,1964
"woods",311.553685169998,401.853173974751,497.212523552646,341.187338845679,1964
"crops",720.613006400398,833.222111984702,948.864511163162,765.821468774822,1965
"grass",557.774937147322,682.043958155398,810.952092257145,668.662955633182,1965
"other",73.4509678903795,147.191795598682,266.70609973148,66.995529097412,1965
"rough",114.795704980362,210.012239176958,322.600827286071,150.980973934721,1965
"urban",177.730870924322,289.503054860721,410.471209313218,272.357208645357,1965
"woods",310.814335594986,407.755841137286,505.376529207086,397.24160562858,1965
"crops",673.354861780975,805.472664510079,930.974592090593,787.279658653567,1966
"grass",597.965166992667,733.57684874766,849.600582962179,774.678321210975,1966
"other",63.7934804702259,145.983045398634,241.431400118268,114.368528473549,1966
"rough",103.038362537426,191.631507176402,305.624017053968,154.368782142373,1966
"urban",175.442665122636,284.585443403174,405.879326371733,195.501165419116,1966
"woods",302.503327043856,393.832082007347,489.407780370372,367.11880871567,1966
"crops",701.773522460377,820.437296757638,945.74879320275,754.032867503221,1967
"grass",560.951542459213,689.061125197943,814.257686032771,695.15572097581,1967
"other",78.7662140979647,150.779213922021,245.558586475841,135.044550422558,1967
"rough",114.234102819522,219.082822729067,338.665188343404,142.429983423655,1967
"urban",180.32558018714,292.48958091321,417.532259716536,224.55304978814,1967
"woods",317.294546415232,399.762473819856,492.066655065411,374.060137929619,1967
"crops",692.721769796248,805.194519269988,926.196153676455,757.352865124309,1968
"grass",559.8930177819,684.738585219222,807.618955762402,625.563257881026,1968
"other",69.4432253914055,157.135344104286,251.808763902804,65.6362708543115,1968
"rough",122.991303115516,231.654012286316,337.944123829615,244.323540240939,1968
"urban",173.301414552412,291.630492650219,406.141759003638,309.787588120304,1968
"woods",301.886201820002,392.263841841647,484.040555804625,387.715552777029,1968
"crops",675.819968554109,785.5039911714,909.735697319585,758.34145983303,1969
"grass",576.35390834969,697.859599805185,821.137470858689,694.17577360209,1969
"other",77.3982726575292,152.116122101517,255.527358270445,79.9338666251293,1969
"rough",145.614328421801,251.710879607552,369.771352519521,182.558051967436,1969
"urban",161.289189723117,270.35035585597,402.261294646362,213.558094647107,1969
"woods",312.873787432732,404.976956255159,490.922871249269,385.240569842293,1969
"crops",712.954771096237,827.383956572221,948.559794894907,788.39926791103,1970
"grass",553.993224468651,677.566321536498,813.854401859113,624.27117018535,1970
