"u","area_q025","area_q50","area_q975","area_MAP","u_from","u_to","land_use_change","time"
"woods_to_crops",0.463721202761002,12.0198520221022,53.4046490191856,1.13881894225305,"woods","crops","woods_to_crops",1952
"woods_to_grass",0.789121430858887,19.040944063926,76.1473928907234,22.9176343749574,"woods","grass","woods_to_grass",1952
"woods_to_other",0.497975951784205,14.4243414315274,60.0938870861973,5.90327428066919,"woods","other","woods_to_other",1952
"woods_to_rough",1.83699459153565,18.7689487060265,69.6247244312134,34.9019681716757,"woods","rough","woods_to_rough",1952
"woods_to_urban",0.594473546657643,13.9709656015216,57.8713667546851,2.55825854751986,"woods","urban","woods_to_urban",1952
"crops_to_grass",281.872708310637,421.38511294813,556.046174980427,502.147664269289,"crops","grass","crops_to_grass",1953
"crops_to_other",1.96378366129892,40.5696931138472,131.801081901589,32.0929102905064,"crops","other","crops_to_other",1953
"crops_to_rough",2.17421476258076,34.5349397545422,123.582550531222,14.0891807761916,"crops","rough","crops_to_rough",1953
"crops_to_urban",4.58301237198577,82.7027189368348,210.945735658164,53.9624757210074,"crops","urban","crops_to_urban",1953
"crops_to_woods",4.45190684249061,74.1404251627663,184.218469904546,53.3977684020711,"crops","woods","crops_to_woods",1953
"grass_to_crops",442.261786603707,550.88056113688,655.783649666279,570.990761618548,"grass","crops","grass_to_crops",1953
"grass_to_other",0.973361214390472,37.3724015356033,114.874410578982,12.4865179075692,"grass","other","grass_to_other",1953
"grass_to_rough",10.8573187231775,81.8292664494383,200.458286095869,44.8325669523852,"grass","rough","grass_to_rough",1953
"grass_to_urban",8.53969351253256,118.753320160163,250.047242179249,150.863237992538,"grass","urban","grass_to_urban",1953
"grass_to_woods",24.2297773504394,149.910826076054,291.07886724426,101.127256744704,"grass","woods","grass_to_woods",1953
"other_to_crops",0.574816214221009,16.8588124874309,65.7957260014778,16.1153265010132,"other","crops","other_to_crops",1953
"other_to_grass",1.20936241428735,30.7413043491077,107.075988648622,10.0188339603477,"other","grass","other_to_grass",1953
"other_to_rough",0.478917452811252,17.0830245817428,72.4991784408202,2.42030717449248,"other","rough","other_to_rough",1953
"other_to_urban",0.477534971749912,22.046647885565,92.6365226726347,20.4872128334073,"other","urban","other_to_urban",1953
"other_to_woods",1.2612287084835,22.3477250098004,94.7074084032269,12.3108223088236,"other","woods","other_to_woods",1953
"rough_to_crops",1.29694882076726,34.2843846449063,126.708973930568,6.56417755129936,"rough","crops","rough_to_crops",1953
"rough_to_grass",189.537038924471,301.839557169412,418.270593024811,249.981732646241,"rough","grass","rough_to_grass",1953
"rough_to_other",0.9133929006959,36.1503048777767,133.325730773606,26.9052608368494,"rough","other","rough_to_other",1953
"rough_to_urban",2.53219380264336,58.6736683669664,169.075092233218,46.7207914740888,"rough","urban","rough_to_urban",1953
"rough_to_woods",25.7722224181879,112.620436693663,242.559373498188,178.562751831088,"rough","woods","rough_to_woods",1953
"urban_to_crops",0.771904738179783,16.7953290321029,72.2720166780961,32.5075993920198,"urban","crops","urban_to_crops",1953
"urban_to_grass",1.25259978839373,36.1720591074143,118.751594306531,34.9268899372586,"urban","grass","urban_to_grass",1953
"urban_to_other",1.00141281172968,20.4089621255622,79.7000477237986,13.4497743263048,"urban","other","urban_to_other",1953
"urban_to_rough",0.450376069850629,21.1104788741711,78.5308811366026,19.8554378069471,"urban","rough","urban_to_rough",1953
"urban_to_woods",1.41480387678645,23.2695659713873,90.44431890475,1.37474727662092,"urban","woods","urban_to_woods",1953
"woods_to_crops",0.473596772690724,12.5120480918901,52.2730646629545,1.19882913816202,"woods","crops","woods_to_crops",1953
"woods_to_grass",0.197093293552411,18.1460926317915,71.0738318002453,2.45119605474979,"woods","grass","woods_to_grass",1953
"woods_to_other",0.817504027435564,15.2311214406885,58.2951964382361,16.0711272022198,"woods","other","woods_to_other",1953
"woods_to_rough",0.384447625682754,11.9735745474433,63.5399204580352,8.87756259981392,"woods","rough","woods_to_rough",1953
"woods_to_urban",0.957431886860249,15.8835958153207,65.2137962265281,16.759702951177,"woods","urban","woods_to_urban",1953
"crops_to_grass",357.500802531348,479.40464648725,603.757962692228,458.182951229415,"crops","grass","crops_to_grass",1954
"crops_to_other",1.6812755710143,39.8294153755066,117.704078409207,20.84479517758,"crops","other","crops_to_other",1954
"crops_to_rough",4.73780610899963,55.6169368060725,155.010601362784,27.7674075464776,"crops","rough","crops_to_rough",1954
"crops_to_urban",7.84621250037846,93.1638875644052,202.229860928379,146.481849602862,"crops","urban","crops_to_urban",1954
"crops_to_woods",8.3517639533647,76.9976019318717,188.333930697178,69.6002624013066,"crops","woods","crops_to_woods",1954
"grass_to_crops",374.125897283968,500.098538286741,614.01981209808,505.053714772566,"grass","crops","grass_to_crops",1954
"grass_to_other",0.872936947645201,28.95083197977,110.459044019333,68.4748095780091,"grass","other","grass_to_other",1954
"grass_to_rough",10.5401836880705,115.480940430906,220.644232656892,114.468672255337,"grass","rough","grass_to_rough",1954
"grass_to_urban",18.2660281440977,109.549725080633,220.491660731433,16.708220501503,"grass","urban","grass_to_urban",1954
"grass_to_woods",15.5323868934808,130.40924866913,257.039828254365,176.272493769019,"grass","woods","grass_to_woods",1954
"other_to_crops",0.925037229648767,17.7780755886385,69.6461726659672,8.68272979514518,"other","crops","other_to_crops",1954
"other_to_grass",1.99949183703852,34.1101493718462,109.97011937435,85.4272945659716,"other","grass","other_to_grass",1954
"other_to_rough",0.90819764036777,19.2782322021758,78.8334069859289,13.2853988480473,"other","rough","other_to_rough",1954
"other_to_urban",1.93786610172075,29.1800331632184,102.553248273649,1.19504021053958,"other","urban","other_to_urban",1954
"other_to_woods",0.614835827789394,30.9118737108034,108.273489415644,28.726359628806,"other","woods","other_to_woods",1954
"rough_to_crops",0.97942544172103,28.876191744142,104.708386377698,55.8622276335794,"rough","crops","rough_to_crops",1954
"rough_to_grass",144.257876911599,274.957467276521,395.685762404021,299.174960253278,"rough","grass","rough_to_grass",1954
"rough_to_other",1.71707043982839,24.0094090364158,103.479896942709,4.06412681056858,"rough","other","rough_to_other",1954
"rough_to_urban",1.83449618694271,39.6623548859909,135.315008992254,28.5743237758388,"rough","urban","rough_to_urban",1954
"rough_to_woods",14.1433829283958,107.878959874896,232.53167911784,102.360042086638,"rough","woods","rough_to_woods",1954
"urban_to_crops",1.11299990259047,19.5874663636226,80.8935349607646,9.63126394784576,"urban","crops","urban_to_crops",1954
"urban_to_grass",1.67700619427001,39.5988233006643,124.972678264276,5.76192976859056,"urban","grass","urban_to_grass",1954
"urban_to_other",0.714823852996212,22.6719019642101,77.9822102379252,14.6545472092732,"urban","other","urban_to_other",1954
"urban_to_rough",0.986627997954772,25.8426275426544,82.9302147782767,40.4525842288888,"urban","rough","urban_to_rough",1954
"urban_to_woods",0.684985932195023,31.9588055446507,116.693878072773,3.76191298542735,"urban","woods","urban_to_woods",1954
"woods_to_crops",0.325697972664829,13.754041611904,54.6329441895152,16.4961402182743,"woods","crops","woods_to_crops",1954
"woods_to_grass",0.641135122850128,17.8618639771845,73.3937128567945,3.78852765661447,"woods","grass","woods_to_grass",1954
"woods_to_other",0.523122000035918,12.8707642028276,51.0001398913362,25.013821972543,"woods","other","woods_to_other",1954
"woods_to_rough",0.767097281120781,13.8213589229954,59.8221489469031,4.49250744130549,"woods","rough","woods_to_rough",1954
"woods_to_urban",1.08163000081977,17.1876017269655,68.5606686288806,32.4627734073084,"woods","urban","woods_to_urban",1954
"crops_to_grass",340.17996369402,468.683243651825,616.570486007307,511.689303166166,"crops","grass","crops_to_grass",1955
"crops_to_other",0.791300838977855,36.0710032089676,121.623720379175,11.3461687844599,"crops","other","crops_to_other",1955
"crops_to_rough",4.26096933992495,57.2233135923792,189.051872972999,44.2844388749017,"crops","rough","crops_to_rough",1955
"crops_to_urban",9.01995024762248,94.2102238237112,229.043171876275,117.720171283624,"crops","urban","crops_to_urban",1955
"crops_to_woods",6.18454236156957,69.8589046681006,195.859292150533,102.359865609677,"crops","woods","crops_to_woods",1955
"grass_to_crops",356.312431752599,482.201207149849,589.761128313318,480.153753707566,"grass","crops","grass_to_crops",1955
"grass_to_other",1.72357195224676,28.8338304768433,110.524768035755,19.9722917008411,"grass","other","grass_to_other",1955
"grass_to_rough",11.4349927475624,99.1540202536368,226.779730083366,141.150998037671,"grass","rough","grass_to_rough",1955
"grass_to_urban",8.56358846360941,102.079042852673,245.750777090627,84.6456838664376,"grass","urban","grass_to_urban",1955
"grass_to_woods",20.5348908974722,133.844831175251,256.670579423073,127.085097339333,"grass","woods","grass_to_woods",1955
"other_to_crops",0.793473279583734,20.421229456364,84.5802367892983,20.421229456364,"other","crops","other_to_crops",1955
"other_to_grass",2.04265399139969,42.7714295143695,111.978901593455,32.2062937577364,"other","grass","other_to_grass",1955
"other_to_rough",0.501561689296098,27.8000056936049,100.813558581149,2.55192758367831,"other","rough","other_to_rough",1955
"other_to_urban",1.13234067679171,22.6854585006804,94.5162150874473,32.1725176256008,"other","urban","other_to_urban",1955
"other_to_woods",0.860485858156723,29.3192744763671,126.250764033637,21.1654928676671,"other","woods","other_to_woods",1955
"rough_to_crops",1.06687931825904,26.7004073469287,115.347292250793,11.2044771967956,"rough","crops","rough_to_crops",1955
"rough_to_grass",158.738003749662,271.268755716419,391.596915164127,253.452779834161,"rough","grass","rough_to_grass",1955
"rough_to_other",1.62750775219638,30.7701913753212,101.660418515099,6.76802782193832,"rough","other","rough_to_other",1955
"rough_to_urban",2.55717718802873,37.139428352977,109.077997723317,44.0968639033174,"rough","urban","rough_to_urban",1955
"rough_to_woods",11.3882617716651,102.270680352842,212.916864774396,123.919994685538,"rough","woods","rough_to_woods",1955
"urban_to_crops",0.479519122394175,17.9946697949466,67.0981680200663,17.6457218093404,"urban","crops","urban_to_crops",1955
"urban_to_grass",1.60145932153381,37.5556682471961,130.42417053414,36.0787043386504,"urban","grass","urban_to_grass",1955
"urban_to_other",1.14786589851473,20.145871448428,92.5477881431837,28.2200129028314,"urban","other","urban_to_other",1955
"urban_to_rough",1.02252430674834,27.5091428844175,96.8099668015544,6.29304613006732,"urban","rough","urban_to_rough",1955
