"u","area_q025","area_q50","area_q975","area_MAP","time"
"crops",150.293777495276,257.156511830483,364.599370145646,250.863871417735,1969
"grass",-473.503004443864,-368.565278980299,-254.971214634155,-378.864082311649,1969
"other",-129.360606267098,-23.7588233641374,91.4394141619769,-48.5322676583791,1969
"rough",-363.259510261234,-249.141971211121,-141.193238891136,-219.989670952312,1969
"urban",-23.2092999393811,97.522652132712,219.954866322391,96.9985305231996,1969
"woods",195.385667714593,286.045486609999,373.692927559902,299.523618981405,1969
"crops",231.791691680943,344.556956135619,451.370287052311,369.621183321534,1970
"grass",-519.407801286193,-412.718774375659,-293.914901381121,-442.763466923026,1970
"other",-106.491754841572,-2.70839844446051,112.704069872449,-32.9140661770965,1970
"rough",-504.123720877475,-392.192511980662,-290.023688587203,-381.727965437312,1970
"urban",21.8264868210751,143.609559938821,264.307173893308,165.93768007959,1970
"woods",228.2371403644,321.851656619617,423.228930605853,321.84663513631,1970
"crops",148.744937160649,251.914215193261,361.9086214953,233.341752245014,1971
"grass",-583.124136983802,-457.62664590949,-337.265207343466,-522.556398992427,1971
"other",-83.1544628704025,18.9142196415485,136.001977456005,55.2004955757644,1971
"rough",-469.664283736265,-356.161749461624,-229.17384598085,-327.57012871231,1971
"urban",47.2490726226909,174.247194235738,295.693240295425,163.156426756878,1971
"woods",268.021808637239,364.802416411917,460.134653017251,398.427853127082,1971
"crops",26.1066950233825,136.440220573267,258.236319646009,108.790256598729,1972
"grass",-382.698844538407,-270.922579216174,-166.497380935951,-252.365395669729,1972
"other",-145.939889052676,-29.4214028876098,94.0720638408056,-28.1787812152518,1972
"rough",-409.153301102897,-315.635752781216,-210.905209746431,-340.091471450371,1972
"urban",19.0509651034497,142.662931700109,267.253237620674,147.156311064063,1972
"woods",234.715460561484,333.562255306995,434.456676737761,364.689080672559,1972
"crops",-6.91022798910182,90.48756159549,193.694199550742,91.7025445755219,1973
"grass",-454.331760029101,-334.318910578687,-223.348094043355,-353.176860970671,1973
"other",-140.761781554766,-32.8805883157231,72.5795145991279,-8.75215890921085,1973
"rough",-248.073134173684,-143.965449629304,-35.5013562451829,-177.136214175516,1973
"urban",-17.1914713935759,100.499722790768,219.565479130097,107.678452589099,1973
"woods",204.97993915884,320.925823986882,420.512150803857,339.684236890777,1973
"crops",35.3194738703917,145.186225988607,260.386010972283,165.045079669251,1974
"grass",-547.042280979997,-423.437151439013,-292.961460972945,-472.392584115413,1974
"other",-134.370290957088,-13.0254626578911,96.3941457341255,73.8100327063934,1974
