"u","area_q025","area_q50","area_q975","area_MAP","time"
"woods",55.4264154698508,116.373596313993,193.584330067815,85.7169508608875,1969
"crops",375.540162119358,490.408958324043,607.504205828031,418.778084589496,1970
"grass",955.523201798572,1087.70917278343,1226.71235869103,1067.03463710838,1970
"other",81.4184366205081,153.821225142542,259.611661847585,134.724108131256,1970
"rough",473.328862644623,590.347490752621,709.714750007754,525.566332027888,1970
"urban",72.0807590518882,159.154485414175,262.904667900612,153.675722637575,1970
"woods",51.8937508586027,106.991782759019,184.501548629199,76.7734616636374,1970
"crops",508.160779124085,625.703845441134,753.49076860619,599.432591507186,1971
"grass",1106.84919042939,1244.53603195374,1393.34820979374,1301.44584106656,1971
"other",70.1731167373184,150.731866187336,249.350685677516,58.7192726651109,1971
"rough",480.73401168823,606.147479000345,729.763958646304,538.11708992017,1971
"urban",63.5642290681432,147.76286672186,246.43397081396,110.750103627365,1971
"woods",48.8677818721393,108.398565710854,189.438570462794,94.5856331028416,1971
"crops",658.807796107491,775.141098233226,878.506241955298,761.216167671345,1972
"grass",1089.80538120887,1233.49554147233,1361.64605942609,1292.62966757121,1972
"other",88.7732913783101,174.453593096976,295.204185465212,144.284272132074,1972
"rough",500.244120726612,618.13315078515,745.180634903227,645.019719323951,1972
"urban",89.5247237115481,160.159820738617,278.399025228093,157.409832378278,1972
"woods",57.7915544188205,117.862247142053,197.332333123346,50.6786122519929,1972
"crops",778.762928217797,906.674991286039,1020.22693935377,940.083966140041,1973
"grass",1254.24190852681,1393.63858631592,1539.75354342769,1456.53312898081,1973
"other",84.8905352799254,186.131720377511,304.252586508153,110.364073611305,1973
"rough",443.893221050468,577.271686424963,708.951093209116,541.352984299267,1973
"urban",90.5911562993223,182.907755251034,313.691923469197,129.346839170162,1973
"woods",63.5980943141294,120.79843086855,202.318475285259,88.8834595144577,1973
"crops",834.418025832939,974.876854844359,1092.81914834,953.749827617061,1974
"grass",1414.29532206533,1569.11947564899,1742.7606023459,1624.03667707566,1974
"other",95.8525711153432,180.519662685113,275.63816883492,82.4098423359264,1974
"rough",475.000728839924,614.197254401167,727.07603987936,693.308886558481,1974
"urban",81.7099168462862,181.463309995248,299.771195217835,76.5003986082321,1974
"woods",56.6170429435945,117.361764321232,199.678440701918,132.125005483518,1974
"crops",958.432331514002,1080.79946046084,1212.79952366133,1064.10428186779,1975
"grass",1476.71645913223,1651.15878354535,1814.59381348063,1670.82244428607,1975
"other",91.6910807442998,175.271272164867,305.393714075455,142.29322179734,1975
"rough",519.196042047843,658.47903374759,788.314001370507,597.808729230036,1975
"urban",82.9359005409667,180.148047438278,297.763841606049,122.070949492469,1975
"woods",45.935700020114,117.140869913422,189.989114501807,58.7307751580011,1975
"crops",1060.51730384325,1185.72857846132,1319.56045723618,1154.21215969154,1976
"grass",1631.35059479278,1769.5285666587,1951.11486079423,1746.37830027008,1976
"other",91.149751370395,180.872511036396,304.030693719559,175.503451553975,1976
"rough",565.995362747746,684.521491761645,807.518095912567,695.552802775176,1976
"urban",84.763074336004,182.815603136206,316.629575698001,175.136305567212,1976
